SRCID,Q1,Q1_Ordinal,Q2,DUM1,DUM2,Q5Average,Q6,Q7Average,Q8,Q9Average,Q10,Q11Average,Q12,Q12_Ordinal,Q18,Q20,Q22,Q22_Ordinal,Q24,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,Random
719,2,"""2""","""1""","""2""","""2""",2,"""8""",1,"""3""",2,"""2""",3,1,"""1""",7,6,1,"""1""","""0""","""2""","""4""","""2""","""1""",
733,2,"""2""","""13""","""1""","""3""",2,"""12""",1,"""8""",2,"""2""",2,1,"""1""",5,6,1,"""1""","""0""","""1""","""4""","""3""","""1""",54
736,4,"""4""","""16""","""1""","""1""",3,"""4""",1,"""8""",3,"""1""",2,1,"""1""",3,8,1,"""1""","""0""","""2""","""3""","""2""","""1""",55
739,5,"""5""","""36""","""1""","""1""",1,"""4""",1,"""5""",1,"""2""",3,1,"""1""",8,10,1,"""1""","""0""","""1""","""3""","""3""","""1""",
742,2,"""2""","""16""","""1""","""1""",2,"""3""",1,"""7""",2,"""2""",2,1,"""1""",3,8,1,"""1""","""0""","""1""","""4""","""3""","""4""",
754,4,"""4""","""32""","""1""","""1""",2,"""4""",2,"""9""",2,"""2""",2,1,"""1""",3,4,1,"""1""","""0""","""1""","""4""","""3""","""2""",56
756,2,"""2""","""13""","""1""","""2""",3,"""4""",2,"""7""",3,"""2""",2,1,"""1""",5,5,1,"""1""","""0""","""2""","""4""","""3""","""2""",
761,4,"""4""","""1""","""2""","""1""",3,"""3""",1,"""2""",3,"""1""",2,1,"""1""",4,5,1,"""1""","""2""","""2""","""3""","""1""","""3""",
772,2,"""2""","""1""","""2""","""2""",2,"""9""",2,"""2""",2,"""1""",2,1,"""1""",5,5,1,"""1""","""0""","""2""","""3""","""3""","""1""",57
784,2,"""2""","""1""","""1""","""3""",2,"""6""",2,"""9""",2,"""1""",2,1,"""1""",9,7,1,"""1""","""0""","""1""","""4""","""2""","""4""",58
